"pitches","player_id","player_name","api_game_date_month_text","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
69,678882,"Rafaela, Ceddanne","Sep/Oct",273,25.3,0.191,0.118,0.286,0.309,0.22,0.254,0.211,13,68,86.7,15.3,2343,88.2,88.32,23,66,3,0.09999999999999432,6.48,103,150,113,145,289,320,294,"0.7","-0.7","68.1","7.6",69,43,8,3,1,1,25,36.2,0,0,2.54145,0.43957,-0.04551,-0.07449,"93.5",172,37.2093023255814,13.953488372093023,8.695652173913043,5.76,-0.95,0.31,2.29,0.203,6,"-1.023188406",0.223,0.369,"1.023188406",-0.02,-0.01999999999999999,-0.06,-0.034,34.8,"39.8"
69,682177,"Schneemann, Daniel","Jun",287,24,0.263,0.211,0.342,0.474,0.357,0.341,0.261,15,57,90.1,7.7,2162,90.5,90.85,15,55,14,0.29999999999999716,6.44,117,146,118,150,282,319,300,"-3.1","3.1","70.2","7.1",69,40,9,2,2,2,19,27.5,10,14.5,2.08362,0.71841,0.71928,-0.50246,"94.8",167,50,10,5.797101449275362,5.59,-0.91,-0.3,2.23,0.362,4,"4.497101449",0.368,0.398,"-4.497101449",0.002,-0.006000000000000005,0.076,0.016,27.3,"36.4"
69,677942,"Alexander, Blaze","Mar/Apr",281,24.6,0.3,0.233,0.357,0.533,0.398,0.312,0.229,18,60,89.4,8.7,2248,88.2,88.49,10,55,14,0.29999999999999716,6.45,110,150,117,146,305,325,291,"-5.9","5.9","72.9","7.3",69,45,10,5,0,3,15,21.7,9,13,2.46145,0.55,0.26681,-0.1271,"93.8",166,42.22222222222222,6.666666666666667,4.3478260869565215,5.94,0.24,0.05,2.17,0.391,3,"8.542028986",0.33,0.361,"-8.542028986",0.071,0.061,0.172,0.086,18.2,"41.0"
68,668885,"Martin, Austin","Mar/Apr",260,26.2,0.226,0.145,0.265,0.371,0.292,0.305,0.273,14,62,87.2,14.2,2275,90.3,90.61,8,58,10,0.29999999999999716,6.52,110,150,116,145,305,324,287,"-0.1","0.1","65.3","6.9",68,50,7,6,0,1,12,17.6,6,8.8,2.06838,0.77896,0.43838,0.20868,"92.4",156,32,0,0,5.86,-0.94,-0.05,2.52,0.294,0,"0.102941176",0.337,0.342,"-0.102941176",-0.047,-0.04300000000000004,0.029,-0.013,13.8,"42.5"
68,677800,"Abreu, Wilyer","Jul",282,24.1,0.25,0.283,0.324,0.533,0.351,0.324,0.215,15,60,92.6,25.3,2242,90.3,90.52,19,59,9,0.20000000000000284,6.33,115,145,122,151,282,320,306,"-3.7","3.7","73.2","7.5",68,40,4,8,0,3,22,32.4,5,7.4,2.30765,0.52235,0.43882,-0.27588,"96.2",238,55.00000000000001,15,8.823529411764707,5.6,-1.32,0,2.1,0.309,6,"5.467647059",0.292,0.445,"-5.467647059",0.035,0.017000000000000015,0.088,0.027,32.2,"35.1"
68,691406,"Caminero, Junior","Aug",254,26.8,0.254,0.206,0.295,0.46,0.331,0.315,0.238,16,63,90.5,0.6,2271,88.9,88.96,15,62,6,0.09999999999999432,6.42,107,151,124,147,304,322,291,"1.2","-1.2","76.6","8.3",68,47,10,2,1,3,16,23.5,5,7.4,2.34838,0.60074,0.17941,-0.05,"97.3",141,55.319148936170215,10.638297872340425,7.352941176470589,5.68,-1.31,0.23,2.32,0.309,5,"-1.816176471",0.295,0.424,"1.816176471",0.016,0.014000000000000012,0.036,0.016,24.2,"38.0"
67,694192,"Chourio, Jackson","May",235,28.5,0.219,0.078,0.26,0.297,0.244,0.285,0.252,14,64,89.9,7.6,2427,88.1,88.03,9,60,7,-0.09999999999999432,6.29,106,151,112,147,303,320,287,"3.7","-3.7","73.6","7.3",67,51,11,2,0,1,13,19.4,3,4.5,2.47537,0.50418,0.05328,-0.25388,"95.2",123,49.01960784313725,3.9215686274509802,2.9850746268656714,5.8,-0.52,-0.01,2.33,0.254,2,"-5.573134328",0.285,0.362,"5.573134328",-0.033,-0.030999999999999972,-0.065,-0.041,15,"39.2"
67,666152,"Hamilton, David","Aug",252,26.6,0.262,0.213,0.295,0.475,0.347,0.266,0.199,16,61,85.5,25.7,2240,90.1,90.61,11,58,9,0.5,6.55,113,146,109,150,278,318,302,"-3.1","3.1","69.2","7.2",67,47,9,4,0,3,14,20.9,6,9,2.08746,0.74388,0.57955,-0.545,"92.2",189,27.659574468085108,8.51063829787234,5.970149253731343,5.68,-1.45,-0.11,2.41,0.328,4,"4.586567164",0.271,0.326,"-4.586567164",0.063,0.056999999999999995,0.149,0.081,19,"36.4"
66,696285,"Young, Jacob","Mar/Apr",248,26.6,0.29,0.065,0.346,0.355,0.306,0.299,0.279,18,62,84.6,2.1,2227,87.5,87.72,8,60,6,0.20000000000000284,6.46,107,150,108,146,297,310,283,"-2.6","2.6","67.7","6.8",66,52,14,4,0,0,10,15.2,1,1.5,2.55242,0.46667,0.22485,-0.45364,"93.0",128,38.46153846153847,0,0,5.74,-0.03,-0.02,2.4,0.333,0,"3.893939394",0.322,0.346,"-3.893939394",0.011,0.01100000000000001,0.009,0.007,13.3,"36.8"
65,691718,"Crow-Armstrong, Pete","Jul",240,27.1,0.194,0.194,0.213,0.387,0.264,0.254,0.202,12,62,89.6,21.4,2327,89.3,89.69,9,58,7,0.4000000000000057,6.45,115,145,111,150,287,318,301,"1.7","-1.7","71.0","7.2",65,49,5,4,1,2,13,20,3,4.6,2.42369,0.46338,0.275,-0.1375,"93.7",208,38.775510204081634,6.122448979591836,4.615384615384616,5.79,-0.88,0.02,2.08,0.231,3,"-2.629230769",0.239,0.341,"2.629230769",-0.008,-0.00799999999999998,0.046,0.01,15.5,"37.0"
65,666150,"Fletcher, Dominic","Mar/Apr",269,24.2,0.203,0.068,0.308,0.271,0.25,0.268,0.225,12,59,85.7,16.2,2262,88.2,88.65,16,55,10,0.3999999999999915,6.54,118,146,118,151,280,317,295,"1.2","-1.2","65.8","6.6",65,39,8,4,0,0,20,30.8,4,6.2,2.41354,0.55862,0.29156,-0.17406,"92.3",176,30.76923076923077,2.564102564102564,1.5384615384615385,5.8,-1.22,0.16,2.14,0.277,1,"-1.781538462",0.297,0.293,"1.781538462",-0.022,-0.019999999999999962,-0.022,-0.018,29.1,"37.7"
65,677870,"Jiménez, Leo","Jul",257,25.3,0.224,0.052,0.317,0.276,0.259,0.293,0.244,13,58,88.7,14.4,2268,89.7,89.96,9,50,15,0.29999999999999716,6.45,107,150,119,146,303,316,287,"2.6","-2.6","69.7","7.3",65,41,10,3,0,0,18,27.7,3,4.6,2.36723,0.51234,0.33908,0.00554,"92.6",188,29.268292682926827,4.878048780487805,3.076923076923077,5.71,-1.01,-0.05,2.31,0.292,2,"-3.969230769",0.311,0.349,"3.969230769",-0.02,-0.019000000000000017,-0.073,-0.034,18,"37.2"
65,672279,"Siani, Michael","Jun",250,26,0.27,0.143,0.356,0.413,0.293,0.258,0.234,17,63,84.4,9.2,2188,89.9,89.97,13,59,6,0.09999999999999432,6.31,112,144,103,148,286,321,303,"3","-3","67.5","7.1",65,46,11,4,1,1,18,27.7,1,1.5,2.36078,0.48734,0.39172,-0.15734,"91.9",165,26.08695652173913,6.521739130434782,4.615384615384616,5.87,-1,-0.13,2.26,0.277,3,"-4.666153846",0.248,0.338,"4.666153846",0.036,0.029000000000000026,0.075,0.035,22,"37.7"
64,687363,"Scott II, Victor","Mar/Apr",227,28.2,0.086,0.052,0.111,0.138,0.13,0.196,0.147,5,58,88.2,14.1,2166,90.2,90.64,10,55,9,0.3999999999999915,6.56,108,145,97,148,282,313,299,"6.8","-6.8","68.7","6.4",64,45,2,3,0,0,15,23.4,2,3.1,2.15297,0.68281,0.57922,-0.34453,"92.3",175,26.666666666666668,0,0,5.67,-1.1,-0.01,2.38,0.141,0,"-10.6453125",0.2,0.231,"10.6453125",-0.061,-0.059000000000000025,-0.093,-0.066,18.2,"36.2"
64,677942,"Alexander, Blaze","Jun",234,27.4,0.254,0.034,0.366,0.288,0.274,0.216,0.183,15,59,87.4,8.9,2196,89.8,90.3,16,57,7,0.5,6.58,108,149,116,147,304,325,290,"-1.3","1.3","72.9","7.2",64,41,13,2,0,0,18,28.1,2,3.1,2.39531,0.46578,0.40578,0.18547,"93.3",106,26.82926829268293,0,0,5.72,-0.09,-0.26,2.3,0.313,0,"2.0953125",0.247,0.213,"-2.0953125",0.071,0.066,0.075,0.058,28.1,"35.8"
64,677587,"Rocchio, Brayan","Aug",241,26.6,0.155,0.138,0.159,0.293,0.237,0.229,0.171,9,58,85.4,11.6,2225,89.3,89.83,10,56,8,0.5,6.57,115,148,110,150,286,317,291,"3.8","-3.8","67.9","7.3",64,46,5,2,0,2,12,18.8,6,9.4,2.3575,0.52266,0.54344,-0.54344,"92.1",153,26.08695652173913,2.1739130434782608,1.5625,5.56,-1.4,-0.1,2.24,0.234,1,"-6.0109375",0.249,0.248,"6.0109375",-0.016,-0.014999999999999986,0.045,0.008,17.9,"33.1"
63,702616,"Holliday, Jackson","Sep/Oct",262,24,0.218,0.036,0.308,0.255,0.256,0.276,0.213,12,55,89.1,10.7,2184,89.7,89.79,13,52,11,0.09999999999999432,6.32,114,147,121,152,293,326,305,"1.3","-1.3","70.5","6.8",63,39,10,2,0,0,17,27,7,11.1,2.34794,0.61746,0.53857,-0.3773,"93.9",163,43.58974358974359,5.128205128205128,3.1746031746031744,5.71,-1.17,-0.07,2.54,0.302,2,"-2.033333333",0.297,0.317,"2.033333333",0.005,0.0050000000000000044,-0.062,-0.02,25,"34.0"
63,677587,"Rocchio, Brayan","Jun",264,23.9,0.211,0.158,0.256,0.368,0.29,0.288,0.221,12,57,84.1,12.2,2188,88.7,88.71,14,55,8,0,6.38,110,146,112,147,285,317,294,"2.4","-2.4","68.9","7.4",63,41,7,3,0,2,16,25.4,3,4.8,2.4573,0.47714,0.48667,-0.48667,"92.1",161,24.390243902439025,4.878048780487805,3.1746031746031744,5.66,-0.68,-0.06,2.17,0.286,2,"-3.761904762",0.296,0.345,"3.761904762",-0.01,-0.010000000000000009,0.023,0.002,25.5,"35.7"
63,672279,"Siani, Michael","May",264,23.9,0.246,0.066,0.333,0.311,0.256,0.243,0.218,15,61,86.2,5.1,2183,88.2,88.47,16,59,4,0.29999999999999716,6.42,113,145,109,149,289,319,301,"1.8","-1.8","68.1","7.4",63,43,13,1,0,1,18,28.6,2,3.2,2.46254,0.50063,0.17619,0.02952,"92.3",136,25.581395348837212,4.651162790697675,3.1746031746031744,5.82,-0.37,-0.21,2.23,0.27,2,"-2.846031746",0.243,0.308,"2.846031746",0.028,0.027000000000000024,0.003,0.013,27.1,"39.8"
63,669224,"Wells, Austin","Mar/Apr",259,24.3,0.163,0.102,0.171,0.265,0.274,0.414,0.284,8,49,87.3,18.6,2162,86.1,86.32,8,50,13,0.20000000000000284,6.5,112,144,125,149,289,319,298,"4.2","-4.2","69.8","7.2",63,42,5,2,0,1,9,14.3,12,19,2.82333,0.36452,0.27065,-0.29226,"92.5",197,33.33333333333333,14.285714285714285,9.523809523809524,5.8,-1.48,0.01,2.24,0.317,6,"-6.604761905",0.419,0.531,"6.604761905",-0.121,-0.10199999999999998,-0.266,-0.14,16,"37.7"
63,702358,"Lipscomb, Trey","Jul",239,26.4,0.167,0.033,0.233,0.2,0.185,0.226,0.198,10,60,89.9,-0.7,2284,88.2,88.7,14,57,6,0.5,6.48,110,149,120,148,305,313,290,"5.5","-5.5","67.1","7.6",63,43,8,2,0,0,17,27,3,4.8,2.45413,0.5079,0.30333,-0.12365,"94.9",109,44.18604651162791,0,0,5.84,-0.66,0.26,2.06,0.206,0,"-8.658730159",0.236,0.267,"8.658730159",-0.031,-0.03,-0.067,-0.041,24.6,"38.5"
62,665953,"Chaparro, Andrés","Aug",254,24.4,0.263,0.228,0.295,0.491,0.349,0.306,0.238,15,57,87.4,18.3,2241,88.2,88.5,10,56,6,0.29999999999999716,6.44,108,152,124,147,304,326,290,"-2.4","2.4","71.9","7.0",62,46,6,7,0,2,11,17.7,5,8.1,2.43419,0.52758,0.35726,-0.07823,"92.5",193,30.434782608695656,4.3478260869565215,3.225806451612903,5.88,-0.29,0.21,2.38,0.323,2,"3.827419355",0.3,0.397,"-3.827419355",0.025,0.02300000000000002,0.094,0.043,17.9,"36.7"
61,680718,"Barger, Addison","Sep/Oct",232,26.3,0.151,0.057,0.2,0.208,0.225,0.257,0.171,8,53,87.8,17.9,2143,91.2,91.49,12,48,13,0.29999999999999716,6.55,115,146,122,151,289,323,297,"3.5","-3.5","73.4","7.4",61,36,7,0,0,1,17,27.9,8,13.1,1.97836,0.79164,0.56541,-0.37557,"93.3",169,33.33333333333333,5.555555555555555,3.278688524590164,5.83,-1.33,0.04,2.46,0.262,2,"-5.672131148",0.28,0.274,"5.672131148",-0.02,-0.018000000000000016,-0.066,-0.032,25,"39.7"
61,682622,"Marte, Noelvi","Sep/Oct",225,27.1,0.228,0.035,0.333,0.263,0.245,0.324,0.277,13,57,89.3,13.3,2304,87.8,88.31,13,52,9,0.5,6.5,107,150,121,145,300,321,290,"2","-2","70.3","7.4",61,39,11,2,0,0,18,29.5,4,6.6,2.54951,0.58164,0.22869,0.0959,"93.8",173,41.02564102564102,5.128205128205128,3.278688524590164,5.89,-1.44,0.23,2.19,0.279,2,"-3.206557377",0.324,0.414,"3.206557377",-0.049,-0.044999999999999984,-0.151,-0.079,25,"40.4"
61,687401,"Ortiz, Joey","Jul",264,23.1,0.164,0.055,0.225,0.218,0.204,0.25,0.202,9,55,88.1,9.6,2272,89.8,90.43,9,49,12,0.6000000000000085,6.54,109,149,115,147,302,321,289,"4","-4","73.0","7.3",61,40,7,1,1,0,16,26.2,5,8.2,2.29508,0.55098,0.34085,0.30729,"93.6",148,42.5,2.5,1.639344262295082,5.68,-0.78,-0.09,2.41,0.23,1,"-6.568852459",0.272,0.247,"6.568852459",-0.038,-0.04200000000000001,-0.029,-0.046,18.4,"38.8"
60,700932,"Manzardo, Kyle","May",251,23.9,0.228,0.14,0.333,0.368,0.276,0.225,0.182,13,57,89.9,19.7,2203,89.8,90.37,14,53,7,0.6000000000000085,6.55,115,145,124,151,289,324,301,"2.3","-2.3","70.3","7.6",60,39,5,8,0,0,18,30,2,3.3,2.16067,0.6875,0.428,-0.43467,"93.9",206,38.46153846153847,7.6923076923076925,5,5.72,-1.18,-0.14,2.09,0.267,3,"-3.826666667",0.223,0.291,"3.826666667",0.046,0.04400000000000001,0.077,0.051,26.4,"37.9"
