"pitches","player_id","player_name","api_game_date_month_text","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
82,666969,"García, Adolis","Sep/Oct",447,18.3,0.243,0.23,0.341,0.473,0.332,0.298,0.216,18,74,88,15.9,2248,89.9,89.96,24,69,13,0.09999999999999432,6.39,109,153,122,146,308,328,296,"-5.3","5.3","68.9","7.4",82,45,9,5,0,4,30,36.6,7,8.5,2.24524,0.6222,0.33667,0.2142,"94.5",216,48.888888888888886,15.555555555555555,8.536585365853659,5.83,-1.07,0.13,2.32,0.305,7,"6.408536585",0.28,0.409,"-6.408536585",0.027,0.024999999999999967,0.064,0.034,34.8,"37.8"
82,666160,"Moniak, Mickey","Jun",349,23.5,0.23,0.176,0.326,0.405,0.31,0.289,0.21,17,74,87.4,15.4,2219,88.3,88.44,24,72,10,0.10000000000000853,6.38,115,144,118,151,294,318,298,"-2.5","2.5","72.4","7.8",82,48,9,5,1,2,26,31.7,7,8.5,2.45695,0.50049,0.24195,-0.25366,"94.0",159,37.5,8.333333333333332,4.878048780487805,5.74,-1.53,-0.07,2.21,0.305,4,"3.097560976",0.287,0.36,"-3.097560976",0.02,0.018000000000000016,0.045,0.021,33.3,"37.7"
81,665750,"Taveras, Leody","Aug",345,23.5,0.25,0.132,0.293,0.382,0.28,0.247,0.226,19,76,87.2,14.9,2218,88.9,89.03,16,76,5,0.09999999999999432,6.4,113,145,113,149,290,323,301,"1.2","-1.2","71.4","7.5",81,60,13,4,0,2,18,22.2,3,3.7,2.47642,0.45321,0.51247,-0.51247,"92.6",156,30,5,3.7037037037037033,5.77,-1.64,-0.15,2.35,0.272,3,"-1.541975309",0.25,0.318,"1.541975309",0.024,0.02200000000000002,0.064,0.033,21.1,"39.0"
81,657656,"Laureano, Ramón","Sep/Oct",315,25.7,0.295,0.205,0.37,0.5,0.351,0.313,0.25,23,78,86,15.4,2270,89.5,89.85,18,75,6,0.4000000000000057,6.46,108,151,124,147,304,322,290,"-7.8","7.8","70.3","7.0",81,57,14,5,1,3,21,25.9,2,2.5,2.27914,0.60875,0.40136,0.20358,"93.1",192,33.33333333333333,14.035087719298245,9.876543209876543,5.81,-0.96,0.22,2.32,0.321,8,"9.671604938",0.278,0.449,"-9.671604938",0.045,0.04299999999999998,0.051,0.038,24,"37.4"
81,592450,"Judge, Aaron","Aug",456,17.8,0.357,0.486,0.357,0.843,0.529,0.487,0.329,25,70,93.1,20.2,2216,89.5,89.9,14,66,15,0.4000000000000057,6.55,110,152,127,146,307,335,292,"-8","8","76.4","8.2",81,52,11,4,0,10,18,22.2,10,12.3,2.25262,0.63,0.42837,-0.11363,"97.2",216,53.84615384615385,23.076923076923077,14.814814814814813,5.86,-0.15,0.08,2.45,0.444,12,"9.860493827",0.42,0.755,"-9.860493827",0.028,0.02400000000000002,0.088,0.042,21.2,"39.4"
81,665750,"Taveras, Leody","Jun",339,23.9,0.151,0.041,0.192,0.192,0.202,0.283,0.222,11,73,91.9,16.6,2175,91,91.24,11,64,17,0.20000000000000284,6.48,115,147,117,150,294,322,298,"3.6","-3.6","71.2","7.2",81,53,10,0,0,1,20,24.7,8,9.9,2.03383,0.7584,0.62037,-0.62037,"95.3",170,45.28301886792453,5.660377358490567,3.7037037037037033,5.65,-0.88,-0.1,2.45,0.235,3,"-4.460493827",0.299,0.334,"4.460493827",-0.071,-0.064,-0.142,-0.081,17.2,"34.9"
81,592669,"Renfroe, Hunter","May",292,27.7,0.208,0.153,0.241,0.361,0.292,0.271,0.198,15,72,88.1,18,2238,89.1,89.28,11,67,14,0.20000000000000284,6.39,107,151,121,146,305,324,298,"-3.4","3.4","74.4","7.5",81,56,8,5,0,2,16,19.8,9,11.1,2.31963,0.57988,0.30012,-0.14235,"94.9",171,42.857142857142854,3.571428571428571,2.4691358024691357,5.74,-0.43,0.13,2.37,0.296,2,"4.217283951",0.287,0.309,"-4.217283951",0.01,0.009000000000000008,0.052,0.021,16.4,"38.1"
81,665833,"Cruz, Oneil","Sep/Oct",374,21.7,0.176,0.176,0.196,0.353,0.29,0.351,0.249,12,68,96.2,6.8,2281,87.5,87.66,15,64,17,0.20000000000000284,6.42,117,145,131,151,303,328,300,"2.6","-2.6","75.6","7.4",81,49,6,3,0,3,20,24.7,11,13.6,2.63185,0.39667,0.14494,-0.15877,"98.7",135,55.10204081632652,10.204081632653061,6.172839506172839,5.79,-0.76,-0.01,2.34,0.296,5,"-3.25308642",0.363,0.426,"3.25308642",-0.073,-0.067,-0.073,-0.061,23.4,"37.8"
81,663457,"Nootbaar, Lars","Aug",335,24.2,0.219,0.068,0.262,0.288,0.256,0.332,0.271,16,73,92.3,5.5,2285,90.5,90.93,10,71,10,0.4000000000000057,6.46,115,146,118,151,296,326,303,"1.6","-1.6","71.6","6.7",81,61,12,3,1,0,13,16,7,8.6,2.14481,0.65914,0.32951,-0.27173,"95.7",137,50.81967213114754,9.836065573770492,7.4074074074074066,5.85,-0.87,-0.14,2.42,0.284,6,"-2.008641975",0.332,0.427,"2.008641975",-0.052,-0.04800000000000004,-0.139,-0.076,14.1,"41.2"
81,681297,"Cowser, Colton","Jun",321,25.2,0.189,0.257,0.196,0.446,0.303,0.337,0.236,14,74,91.7,13.7,2281,89.3,89.5,20,71,10,0.20000000000000284,6.45,115,147,120,151,293,328,303,"3.4","-3.4","72.7","6.8",81,51,6,2,1,5,23,28.4,4,4.9,2.32556,0.5779,0.38901,-0.17173,"95.5",172,45.09803921568628,13.725490196078432,8.641975308641975,5.82,-0.6,-0.06,2.39,0.259,7,"-4.216049383",0.302,0.484,"4.216049383",-0.047,-0.04299999999999998,-0.038,-0.034,28.2,"40.3"
81,502054,"Pham, Tommy","Sep/Oct",391,20.7,0.263,0.125,0.317,0.388,0.284,0.294,0.251,21,80,91.4,11.9,2275,90.5,91.06,14,76,5,0.5999999999999943,6.61,109,151,123,148,310,326,294,"-0.3","0.3","72.6","6.9",81,62,16,2,1,2,18,22.2,1,1.2,2.03173,0.78358,0.29488,0.13337,"96.4",152,53.2258064516129,8.064516129032258,6.172839506172839,5.85,-0.68,0.18,2.48,0.272,5,"0.388888889",0.26,0.422,"-0.388888889",0.012,0.01200000000000001,-0.034,-0.01,18.4,"41.3"
81,694388,"Loperfido, Joey","Aug",295,27.5,0.195,0.195,0.271,0.39,0.267,0.246,0.188,15,77,86.7,13.3,2166,88.4,88.28,23,73,8,-0.10000000000000853,6.2,116,146,119,153,288,325,300,"4","-4","71.4","7.8",81,50,7,3,3,2,27,33.3,3,3.7,2.4442,0.63074,0.44238,-0.38437,"92.3",174,30,6,3.7037037037037033,5.73,-1.09,-0.07,2.39,0.235,3,"-4.933333333",0.228,0.331,"4.933333333",0.007,0.0069999999999999785,0.059,0.021,31.5,"36.9"
80,656775,"Mullins, Cedric","Jun",286,28,0.28,0.227,0.295,0.507,0.355,0.315,0.263,21,75,85.2,27,2279,88.5,88.77,9,73,7,0.29999999999999716,6.45,114,146,110,152,293,327,295,"-1.4","1.4","71.1","7.5",80,64,12,4,2,3,11,13.8,4,5,2.38412,0.58913,0.271,-0.0585,"92.8",188,32.8125,4.6875,3.75,5.84,-1.05,-0.08,2.37,0.325,3,"1.77625",0.309,0.41,"-1.77625",0.017,0.016000000000000014,0.097,0.04,12.3,"39.2"
80,656537,"Hill, Derek","Aug",315,25.4,0.234,0.195,0.292,0.429,0.288,0.318,0.268,18,77,89,5,2204,88.3,88.61,21,73,7,0.29999999999999716,6.45,107,149,119,147,306,322,288,"-1.9","1.9","68.6","7.1",80,52,11,3,0,4,26,32.5,1,1.3,2.45163,0.5157,0.3205,-0.1005,"94.4",161,40.38461538461539,13.461538461538462,8.75,5.72,-0.52,0.05,2.27,0.25,7,"2.37625",0.291,0.436,"-2.37625",-0.034,-0.04099999999999998,-0.007,-0.03,28.8,"36.8"
80,572191,"Taylor, Michael A.","Mar/Apr",340,23.5,0.247,0.041,0.383,0.288,0.255,0.28,0.229,18,73,88.1,7.9,2232,89.1,89.39,23,70,10,0.30000000000001137,6.49,105,150,113,145,302,319,286,"1.7","-1.7","71.5","7.1",80,47,15,3,0,0,28,35,5,6.3,2.391,0.514,0.28025,-0.16825,"94.3",156,40.42553191489361,10.638297872340425,6.25,5.77,-0.67,0.06,2.37,0.287,5,"-2.145",0.28,0.344,"2.145",0.018,0.006999999999999951,-0.056,-0.025,32.9,"38.3"
80,678009,"Meadows, Parker","Mar/Apr",354,22.6,0.101,0.13,0.135,0.232,0.215,0.228,0.11,7,69,84.5,30.7,2218,89.1,89.44,19,58,22,0.30000000000001137,6.52,115,146,117,152,289,324,297,"6.6","-6.6","70.0","7.5",80,39,3,1,1,2,30,37.5,10,12.5,2.22075,0.68737,0.51325,-0.46775,"92.6",204,30.76923076923077,10.256410256410255,5,5.73,-1.34,-0.11,2.48,0.225,4,"-8.19875",0.232,0.256,"8.19875",-0.009,-0.007000000000000006,-0.024,-0.013,32.8,"38.9"
80,596146,"Kepler, Max","Jun",279,28.7,0.195,0.104,0.245,0.299,0.23,0.26,0.212,15,77,89.4,19.2,2247,89.4,89.64,21,76,4,0.19999999999998863,6.45,117,144,119,151,296,322,298,"6.5","-6.5","69.7","7.4",80,55,11,2,0,2,22,27.5,2,2.5,2.4675,0.43641,0.2685,-0.264,"94.5",201,38.18181818181819,7.2727272727272725,5,5.78,-1.24,0.02,2.34,0.225,4,"-8.13625",0.242,0.354,"8.13625",-0.017,-0.016999999999999987,-0.055,-0.03,27.6,"38.7"
80,682985,"Greene, Riley","May",426,18.8,0.26,0.151,0.347,0.411,0.323,0.35,0.271,19,73,91.9,8.5,2235,88.8,88.89,19,70,10,0.10000000000000853,6.32,115,147,125,151,290,326,302,"1.2","-1.2","73.8","7.2",80,51,12,5,0,2,22,27.5,6,7.5,2.45175,0.46662,0.34012,-0.11613,"95.7",175,50.98039215686274,9.803921568627452,6.25,5.73,-1.15,0.02,2.23,0.325,5,"-1.44375",0.335,0.468,"1.44375",-0.011,-0.010000000000000009,-0.057,-0.027,27.1,"38.9"
80,663837,"Vierling, Matt","Jun",436,18.3,0.158,0.105,0.2,0.263,0.204,0.276,0.234,12,76,89.3,9.9,2209,89.3,89.7,11,67,13,0.4000000000000057,6.45,109,152,121,148,303,328,290,"6.8","-6.8","69.6","7.4",80,56,7,3,1,1,20,25,4,5,2.28388,0.61263,0.42362,0.16238,"94.2",157,41.07142857142857,8.928571428571429,6.25,5.72,-1.11,0.03,2.33,0.2,5,"-8.53125",0.272,0.354,"8.53125",-0.076,-0.07200000000000001,-0.091,-0.072,16.4,"39.6"
80,681297,"Cowser, Colton","Jul",348,23,0.338,0.197,0.426,0.535,0.401,0.367,0.291,24,71,91.4,9.6,2246,89.3,89.5,17,68,12,0.20000000000000284,6.45,117,146,122,152,298,326,304,"-5.8","5.8","71.4","6.7",80,51,18,2,0,4,21,26.3,8,10,2.42762,0.49304,0.381,-0.29175,"96.1",162,47.05882352941176,11.76470588235294,7.5,5.6,-0.98,-0.15,2.31,0.4,6,"7.29125",0.365,0.465,"-7.29125",0.047,0.03500000000000003,0.07,0.034,25,"36.2"
80,643565,"Tauchman, Mike","May",495,16.2,0.188,0.087,0.235,0.275,0.266,0.294,0.212,13,69,87.4,20.7,2261,90.4,90.82,14,66,14,0.3999999999999915,6.53,120,148,121,151,291,318,300,"4.1","-4.1","68.0","7.0",80,52,10,1,1,1,17,21.3,11,13.8,2.16238,0.6575,0.47513,-0.24163,"92.5",207,30.76923076923077,3.8461538461538463,2.5,5.7,-0.73,-0.01,2.33,0.3,2,"-5.15875",0.32,0.326,"5.15875",-0.024,-0.020000000000000018,-0.051,-0.028,21.2,"37.9"
80,596146,"Kepler, Max","Jul",321,24.9,0.333,0.069,0.4,0.403,0.348,0.327,0.285,24,72,87.4,9.8,2268,88.4,88.93,11,71,9,0.5,6.55,118,145,122,151,294,324,302,"-1.8","1.8","70.1","7.3",80,60,20,3,1,0,13,16.3,6,7.5,2.46437,0.50127,0.24975,-0.30775,"92.8",160,33.33333333333333,1.6666666666666667,1.25,5.72,-0.8,-0.21,2.29,0.388,1,"2.2375",0.357,0.36,"-2.2375",0.048,0.031000000000000028,0.043,0.021,15.5,"39.4"
80,676356,"DeLuca, Jonny","Aug",298,26.8,0.224,0.092,0.262,0.316,0.255,0.281,0.259,17,76,85.4,14.3,2363,89.5,89.6,9,71,9,0.09999999999999432,6.47,107,152,113,146,298,320,289,"5.3","-5.3","70.3","7.6",80,62,12,4,0,1,14,17.5,4,5,2.39075,0.50325,0.216,-0.039,"92.3",170,30.64516129032258,3.225806451612903,2.5,5.78,-1.09,0.28,2.12,0.263,2,"-6.66625",0.296,0.339,"6.66625",-0.035,-0.032999999999999974,-0.023,-0.026,12.7,"40.7"
79,665487,"Tatis Jr., Fernando","Sep/Oct",310,25.5,0.263,0.237,0.302,0.5,0.337,0.354,0.284,20,76,94.1,4.6,2285,90,90.21,16,73,6,0.20000000000000284,6.46,110,151,124,147,305,324,292,"-2.2","2.2","73.2","7.3",79,57,10,6,0,4,19,24.1,2,2.5,2.3338,0.54321,0.26886,0.23494,"98.4",128,59.64912280701754,14.035087719298245,10.126582278481013,5.59,-1.71,0.17,2.51,0.291,8,"2.834177215",0.312,0.511,"-2.834177215",-0.021,-0.02100000000000002,-0.011,-0.017,21.9,"33.8"
79,641933,"O'Neill, Tyler","Mar/Apr",370,21.4,0.333,0.424,0.333,0.758,0.497,0.445,0.276,22,66,91,26.1,2150,88.6,88.63,10,58,21,0,6.36,105,152,121,146,295,322,299,"-6.2","6.2","73.6","7.4",79,48,12,1,0,9,18,22.8,11,13.9,2.35304,0.61949,0.42658,0.02152,"95.2",207,43.75,22.916666666666664,13.924050632911392,5.71,-0.62,0.16,2.23,0.443,11,"7.892405063",0.395,0.665,"-7.892405063",0.057,0.04799999999999999,0.093,0.052,17.2,"37.9"
79,669743,"Call, Alex","Aug",332,23.8,0.338,0.176,0.39,0.514,0.385,0.309,0.259,25,74,88.7,13.9,2186,89.9,90.46,11,72,7,0.5999999999999943,6.57,109,148,117,145,303,319,286,"-4.1","4.1","66.2","6.8",79,61,16,7,0,2,13,16.5,5,6.3,2.29114,0.56101,0.51392,0.13722,"92.9",162,34.42622950819672,6.557377049180328,5.063291139240507,5.86,-0.81,0.21,2.17,0.38,4,"5.235443038",0.306,0.402,"-5.235443038",0.079,0.07400000000000001,0.112,0.076,15.3,"34.9"
79,645302,"Robles, Victor","Sep/Oct",291,27.1,0.394,0.152,0.473,0.545,0.435,0.347,0.29,26,66,89,8.9,2313,89.3,89.4,10,65,14,0.10000000000000853,6.37,106,147,106,145,292,317,290,"-10.8","10.8","66.8","6.7",79,55,16,10,0,0,13,16.5,6,7.6,2.21962,0.68449,0.18633,0.05468,"92.4",153,30.909090909090907,1.8181818181818181,1.2658227848101267,5.67,-1.04,0.17,2.24,0.468,1,"13.729113924",0.385,0.379,"-13.729113924",0.104,0.08300000000000002,0.166,0.088,15.4,"37.7"
79,664983,"McCarthy, Jake","Jun",300,26.3,0.284,0.104,0.333,0.388,0.343,0.309,0.251,19,67,85.5,10.4,2206,89.7,90.2,8,63,16,0.5,6.56,113,146,112,152,289,324,300,"-5","5","66.2","6.7",79,55,15,2,1,1,13,16.5,7,8.9,2.26215,0.61026,0.34418,-0.3181,"91.5",147,21.818181818181817,0,0,5.68,-0.79,-0.05,2.4,0.38,0,"6.298734177",0.354,0.312,"-6.298734177",0.033,0.026000000000000023,0.076,0.034,12.7,"35.8"
79,680700,"Palacios, Richie","Mar/Apr",317,24.9,0.303,0.167,0.395,0.47,0.387,0.359,0.276,20,66,88.1,14.1,2166,89.3,89.42,13,60,19,0.10000000000000853,6.46,115,146,111,151,288,323,301,"-8.1","8.1","68.5","7.0",79,46,15,2,0,3,20,25.3,11,13.9,2.52025,0.39367,0.44091,-0.39857,"92.9",180,28.26086956521739,6.521739130434782,3.79746835443038,5.65,-1.87,-0.34,2.27,0.41,3,"10.218987342",0.389,0.414,"-10.218987342",0.027,0.020999999999999963,0.056,0.028,21.7,"35.4"
79,502054,"Pham, Tommy","Jun",331,23.9,0.2,0.077,0.24,0.277,0.291,0.351,0.266,13,65,90.5,12,2270,89.5,90.07,8,59,20,0.5999999999999943,6.54,111,152,122,146,303,320,291,"0.6","-0.6","72.2","6.9",79,51,10,2,0,1,14,17.7,14,17.7,2.30785,0.57064,0.45203,0.0262,"94.3",160,37.254901960784316,3.9215686274509802,2.5316455696202533,5.74,-0.53,0.02,2.2,0.342,2,"-0.737974684",0.396,0.378,"0.737974684",-0.066,-0.05399999999999999,-0.101,-0.06,13.6,"38.2"
